107.170.102.203 - - [24/Mar/2016:06:38:25 +0800] "GET / HTTP/1.0" 200 11783 "-" "-"
107.170.102.203 - - [24/Mar/2016:06:38:38 +0800] "GET / HTTP/1.1" 200 3557 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36"
107.170.102.203 - - [24/Mar/2016:06:38:51 +0800] "GET /CHANGELOG.txt HTTP/1.1" 404 468 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36"
107.170.102.203 - - [24/Mar/2016:06:39:00 +0800] "GET / HTTP/1.1" 200 3557 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36"
107.170.102.203 - - [24/Mar/2016:06:39:18 +0800] "GET /readme.html HTTP/1.1" 404 466 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36"
185.25.151.159 - - [24/Mar/2016:11:15:52 +0800] "GET http://testp5.mielno.lubin.pl/testproxy.php HTTP/1.1" 404 458 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
123.59.146.153 - - [24/Mar/2016:11:27:36 +0800] "\x16\x03\x01\x01\"\x01" 400 0 "-" "-"
123.59.146.153 - - [24/Mar/2016:11:27:40 +0800] "USER test +iw test :Test Wuz Here" 400 0 "-" "-"
123.59.146.153 - - [24/Mar/2016:11:27:44 +0800] "GET / HTTP/1.1" 200 11764 "-" "-"
74.91.20.197 - - [24/Mar/2016:12:18:50 +0800] "GET / HTTP/1.1" 200 11764 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)"
180.97.106.162 - - [25/Mar/2016:01:40:23 +0800] "GET http://www.baidu.com/robots.txt HTTP/1.1" 404 446 "-" "-"
196.41.43.195 - - [25/Mar/2016:05:42:29 +0800] "HEAD / HTTP/1.0" 200 273 "-" "-"
169.54.233.117 - - [25/Mar/2016:07:57:44 +0800] "GET / HTTP/1.0" 200 11783 "-" "Mozilla/5.0 (Windows NT 6.1; rv:31.0) Gecko/20100101 Firefox/31.0"
94.185.83.100 - - [25/Mar/2016:08:34:00 +0800] "GET http://testp1.piwo.pila.pl/testproxy.php HTTP/1.1" 404 455 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
